Azamat Bekoev*Zachary Reese*Middleweight*win*January 18, 2025*
Bogdan Guskov*Billy Elekana*Light Heavyweight*win*January 18, 2025*
Grant Dawson*Diego Ferreira*Lightweight*win*January 18, 2025*
Ailin Perez*Karol Rosa*Women's Bantamweight*win*January 18, 2025*
Muin Gafurov*Rinya Nakamura*Bantamweight*win*January 18, 2025*
Benardo Sopaj*Ricky Turcios*Bantamweight*win*January 18, 2025*
Tagir Ulanbekov*Clayton Carpenter*Flyweight*win*January 18, 2025*
Mackenzie Dern*Amanda Ribas*Women's Strawweight*win*January 11, 2025*
Santiago Ponzinibbio*Carlston Harris*Welterweight*win*January 11, 2025*
Cesar Almeida*Abdul Razak Alhassan*Middleweight*win*January 11, 2025*
Roman Kopylov*Chris Curtis*Middleweight*win*January 11, 2025*
Christian Rodriguez*Austin Bashi*Featherweight*win*January 11, 2025*
Punahele Soriano*Uros Medic*Welterweight*win*January 11, 2025*
Felipe Bunes*Jose Johnson*Flyweight*win*January 11, 2025*
Marco Tulio*Ihor Potieria*Middleweight*win*January 11, 2025*
Thiago Moises*Trey Ogden*Lightweight*win*January 11, 2025*
Jacobe Smith*Preston Parsons*Welterweight*win*January 11, 2025*
Ernesta Kareckaite*Nicolle Caliari*Women's Flyweight*win*January 11, 2025*
Bruno Lopes*Magomed Gadzhiyasulov*Light Heavyweight*win*January 11, 2025*
Fatima Kline*Viktoriia Dudakova*Women's Strawweight*win*January 11, 2025*
Nurullo Aliev*Joe Solecki*Lightweight*win*January 11, 2025*
Joaquin Buckley*Colby Covington*Welterweight*win*December 14, 2024*
Cub Swanson*Billy Quarantillo*Featherweight*win*December 14, 2024*
Manel Kape*Bruno Silva*Flyweight*win*December 14, 2024*
Dustin Jacoby*Vitor Petrino*Light Heavyweight*win*December 14, 2024*
Daniel Marcos*Adrian Yanez*Bantamweight*win*December 14, 2024*
Navajo Stirling*Tuco Tokkos*Light Heavyweight*win*December 14, 2024*
Michael Johnson*Ottman Azaitar*Lightweight*win*December 14, 2024*
Joel Alvarez*Drakkar Klose*Lightweight*win*December 14, 2024*
Sean Woodson*Fernando Padilla*Featherweight*win*December 14, 2024*
Felipe Lima*Miles Johns*Featherweight*win*December 14, 2024*
Miranda Maverick*Jamey-Lyn Horth*Women's Flyweight*win*December 14, 2024*
Davey Grant*Ramon Taveras*Bantamweight*win*December 14, 2024*
Piera Rodriguez*Josefine Knutsson*Women's Strawweight*win*December 14, 2024*
Alexandre Pantoja*Kai Asakura*Flyweight*win*December 07, 2024*
Shavkat Rakhmonov*Ian Machado Garry*Welterweight*win*December 07, 2024*
Ciryl Gane*Alexander Volkov*Heavyweight*win*December 07, 2024*
Bryce Mitchell*Kron Gracie*Featherweight*win*December 07, 2024*
Dooho Choi*Nate Landwehr*Featherweight*win*December 07, 2024*
Dominick Reyes*Anthony Smith*Light Heavyweight*win*December 07, 2024*
Vicente Luque*Themba Gorimbo*Welterweight*win*December 07, 2024*
Movsar Evloev*Aljamain Sterling*Featherweight*win*December 07, 2024*
Bryan Battle*Randy Brown*Welterweight*win*December 07, 2024*
Eryk Anders*Chris Weidman*Catch Weight*win*December 07, 2024*
Joshua Van*Cody Durden*Flyweight*win*December 07, 2024*
Michael Chiesa*Max Griffin*Welterweight*win*December 07, 2024*
Chase Hooper*Clay Guida*Lightweight*win*December 07, 2024*
Kennedy Nzechukwu*Lukasz Brzeski*Heavyweight*win*December 07, 2024*
Petr Yan*Deiveson Figueiredo*Bantamweight*win*November 23, 2024*
Yan Xiaonan*Tabatha Ricci*Women's Strawweight*win*November 23, 2024*
Muslim Salikhov*Song Kenan*Welterweight*win*November 23, 2024*
Gabriella Fernandes*Wang Cong*Women's Flyweight*win*November 23, 2024*
Carlos Ulberg*Volkan Oezdemir*Light Heavyweight*win*November 23, 2024*
Zhang Mingyang*Ozzy Diaz*Light Heavyweight*win*November 23, 2024*
SuYoung You*Baergeng Jieleyisi*Bantamweight*win*November 23, 2024*
DongHun Choi*Kiru Sahota*Flyweight*win*November 23, 2024*
Shi Ming*Feng Xiaocan*Women's Strawweight*win*November 23, 2024*
Carlos Hernandez*Nyamjargal Tumendemberel*Flyweight*win*November 23, 2024*
Lone'er Kavanagh*Jose Ochoa*Flyweight*win*November 23, 2024*
Xiao Long*Quang Le*Bantamweight*win*November 23, 2024*
Nikolas Motta*Maheshate*Lightweight*win*November 23, 2024*
Jon Jones*Stipe Miocic*Heavyweight*win*November 16, 2024*
Charles Oliveira*Michael Chandler*Lightweight*win*November 16, 2024*
Bo Nickal*Paul Craig*Middleweight*win*November 16, 2024*
Viviane Araujo*Karine Silva*Women's Flyweight*win*November 16, 2024*
Mauricio Ruffy*James Llontop*Catch Weight*win*November 16, 2024*
Marcus McGhee*Jonathan Martinez*Bantamweight*win*November 16, 2024*
Jim Miller*Damon Jackson*Lightweight*win*November 16, 2024*
David Onama*Roberto Romero*Lightweight*win*November 16, 2024*
Marcin Tybura*Jhonata Diniz*Heavyweight*win*November 16, 2024*
Ramiz Brahimaj*Mickey Gall*Welterweight*win*November 16, 2024*
Oban Elliott*Bassil Hafez*Welterweight*win*November 16, 2024*
Eduarda Moura*Veronica Hardy*Women's Flyweight*win*November 16, 2024*
Carlos Prates*Neil Magny*Welterweight*win*November 09, 2024*
Reinier de Ridder*Gerald Meerschaert*Middleweight*win*November 09, 2024*
Gaston Bolanos*Cortavious Romious*Bantamweight*win*November 09, 2024*
Gillian Robertson*Luana Pinheiro*Women's Strawweight*win*November 09, 2024*
Mansur Abdul-Malik*Dusko Todorovic*Middleweight*win*November 09, 2024*
Denise Gomes*Karolina Kowalkiewicz*Women's Strawweight*win*November 09, 2024*
Elizeu Zaleski dos Santos*Zachary Scroggin*Welterweight*win*November 09, 2024*
